TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Absolute Duo,http://3.bp.blogspot.com/-WT2CZrZtr0Q/VKxuq1d9tUI/AAAAAAAABLM/j0SG1-EiRjQ/s1600/68839l.jpg,http://www.mp4upload.com/embed-q7xxgge1yu1c.html,"{'Tipe': ' TV', 'Jumlah Episode': ' 12', 'Mulai Tayang': ' 4 Januari 2014', 'Produksi': ' FUNimation EntertainmentL, Half H.P Studio, 8bit', 'Genre': ' Action, Ecchi, Romance, School, Harem, Supernatural', 'Durasi': ' 24 min. per episode', 'Rating': ' R – 17+ (violence & profanity)'}","Sinopsis:
Menceritakan tentang Blaze yaitu senjata yang merupakan manifestasi dari jiwa manusia. Tooru Kokonoe telah memenuhi syarat untuk ini, tetapi untuk beberapa alasan Blaze miliknya bukanlah sebuah senjata, melainkan sebuah tameng. Selain itu, dia bersekolah di sekolah yang mengajarkan tentang kemampuan bertempur, dan berkat sistem dua patner di sekolah, akhirnya dia menjalani hidup menjadi seorang gadis berambut perang yang cantik.
Information
Tipe: TV
Jumlah Episode: 12
Mulai Tayang: 4 Januari 2014
Produksi: FUNimation EntertainmentL, Half H.P Studio, 8bit
Genre: Action, Ecchi, Romance, School, Harem, Supernatural
Durasi: 24 min. per episode
Rating: R – 17+ (violence & profanity)
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
ACCA: 13-ku Kansatsu-ka,https://2.bp.blogspot.com/-8VwYQ5JAi8w/WHXhc1AdXsI/AAAAAAAAQco/Z66fZSb_cbYqI2f14Jn3sI_XCknvvzX7gCLcB/s1600/80094__1484120397_180.245.198.38.jpg,http://www.mp4upload.com/embed-q7xxgge1yu1c.html,"{'Japanese': ' ACCA 13区監察課', '\nProducer': ' Bandai Visual, Banpresto, BS11, Contents Seed, Lantis, Madhouse, Medicos Entertainment, Nihon Ad Systems, Sony PCL, Square Enix', '\nType': ' TV Series', '\nStatus': ' Ongoing', '\nGenre': ' Drama, Police', '\nDurasi': ' 24 min', '\nEpisode': ' –', '\nRating': ' 7.00', '\nAdded On': ' January 11th, 2017'}","Japanese: ACCA 13区監察課
Producer: Bandai Visual, Banpresto, BS11, Contents Seed, Lantis, Madhouse, Medicos Entertainment, Nihon Ad Systems, Sony PCL, Square Enix
Type: TV Series
Status: Ongoing
Genre: Drama, Police
Durasi: 24 min
Episode: –
Rating: 7.00
Added On: January 11th, 2017
Sinopsis:
Kerajaan federasi Dōwā terdiri dari 13 distrik otonom. ACCA adalah lembaga yang sangat penting bagi kehidupan masyarakat. Dalam lembaga tersebut terdapat Departemen Inspeksi, departemen ini ada untuk mengawasi setiap cabang dan menguak apabila ada kasus korupsi yang terjadi. Jean Otus adalah Wakil–Ketua di departemen Inspeksi ini, dia dijuluki “Jean The Cigarette Peddler”. Akan tetapi, Departemen Inspeksi rencananya akan dibubarkan oleh “Five Chief Officers ACCA”
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Action Heroine Cheer Fruits,http://animeindo.video/wp-content/uploads/2017/07/rsz_heroin.jpg,http://www.mp4upload.com/embed-q7xxgge1yu1c.html,"{'Japanese': ' アクションヒロイン チアフルーツ', '\nProducer': ' Diomedea', '\nType': ' TV Series', '\nStatus': ' Ongoing', '\nGenre': ' Comedy, School, Slice of Life', '\nDurasi': ' 24 min', '\nEpisode': ' –', '\nRating': ' 6.11', '\nAdded On': ' July 12th, 2017'}","Japanese: アクションヒロイン チアフルーツ
Producer: Diomedea
Type: TV Series
Status: Ongoing
Genre: Comedy, School, Slice of Life
Durasi: 24 min
Episode: –
Rating: 6.11
Added On: July 12th, 2017
Sinopsis:
Perjuangan pahlawan lokal dalam menyelamatkan daerahnya.
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Aho Girl,http://animeindo.video/wp-content/uploads/2017/07/rsz_aho.jpg,http://www.mp4upload.com/embed-q7xxgge1yu1c.html,"{'Judul Asli': ' アホガール', '\nTipe': ' TV', '\nStatus': ' Ongoing', '\nDisiarkan': ' Jul 04, 2017', '\nProduser': ' Nihon Ad Systems, Kodansha, King Records, Diomedea', '\nSkor': ' 7.32', '\nGenres': ' Comedy, Romance, School, Shounen', '\nDurasi': ' 12 menit per episode'}","Judul Asli: アホガール
Tipe: TV
Status: Ongoing
Disiarkan: Jul 04, 2017
Produser: Nihon Ad Systems, Kodansha, King Records, Diomedea
Skor: 7.32
Genres: Comedy, Romance, School, Shounen
Durasi: 12 menit per episode
Sinopsis:
Yoshiko adalah seorang gadis yang sangat bodoh (Bahkan dia mendapatkan nilai nol dalam soal ujian pilihan ganda). Di sekolah ia selalu bersama teman semasa kecilnya yang dia akui sebagai pacarnya, dan temannya itu harus menanggung beban atas semua sikap serta tindakan bodohnya itu.
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Akagami no Shirayuki-hime,http://3.bp.blogspot.com/-SOtC8cuJkqU/VZvGYzI1F1I/AAAAAAAAH8M/gnmhYGcdy6g/s1600/72217__1436272133_36.81.59.178.jpg,http://www.mp4upload.com/embed-q7xxgge1yu1c.html,"{'\nProducers': ' Bones, FUNimation Entertainment', '\nGenres': ' Drama, Fantasy, Historical, Romance, Shoujo'}","Sinopsis:
Mengisahkan tentang Shirayuki seorang gadis muda yang terlahir dengan suatu keunikan, yaitu warna rambut indahnya yang berwarna seperti buah apel. Dia bertemu dengan Pangeran dungu yang terkenal bernama Raj dan membuat Pangeran jatuh cinta pada pandangan pertama kepada Shirayuki. Raj kemudian memerintahkan Yuki untuk menjadi selir simpanannya. Tentu saja Shirayuki melarikan diri dan memotong rambut indahnya. Ketika menelusuri hutan Yuki bertamu dengan seorang pemuda bernama Zen. Saat menerima hadiah apel misterius, apel itu dimakan oleh Zen namun tak disangak ternyata apel tersebut beracun. Keadaan menjadi semakin panik. Apakah yang terjadi kepada Shirayuki? Siapa Zen Sebenarnya? Sebuah cerita fantasi yang menyegarkan antara karakter utama yang selalu optimis dan pangeran yang tak pernah menyerah.
Informasi:
Producers: Bones, FUNimation Entertainment
Genres: Drama, Fantasy, Historical, Romance, Shoujo
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
